"KEY","en","ro","po","ru","en-us"
"step_will_complete","This episode will be marked as done after you will have finished watching.","Acest episod va fi marcat ca văzut după ce îl vei termina de urmărit.","Ten odcinek zostanie oznaczony jako obejrzany, gdy skończysz go oglądać.","После просмотра эта серия будет отмечена как просмотренная. ","This episode will be marked as completed after you have finished watching it."
"next","Next","Înainte","Dalej","Дальше","Next"
"manage_settings","Manage Settings","Mergi la Setări","Przejdź do Ustawień","Перейти к настройкам","Manage Settings"
"share","Share","Distribuiți","Udostępnij","Поделиться","Share"
"sure_change_language","Are you sure you want to change the language?","Ești sigur(ă) că vrei să schimbi limba?","Czy na pewno chcesz zmienić język?","Ты уверен, что хочешь изменить язык?","Are you sure you want to change the language?"
"there_no_results_for","There are no results for '%s'","Nu sunt rezultate pentru '%s'","Brak wyników dla '%s'","Нет результатов для '%s'","There are no results for '%s'"
"Program","Program","Program","Program","Програм","Program"
"_from_","%s from %s","%s din %s","%s z %s","%s из %s","%s from %s"
"add_to_community","Add to Community","Adaugă în Comunitate","Dodaj do społeczności","Добавить в группу","Add to Community"
"you_havent_shared_with_family","You haven't shared photos with your Family yet","Încă nu ai împărtășit poze cu Familia ta","Nie dzielisz jeszcze żadnych zdjęć z rodziną","Ты еще не поделился фотографиями со своей Семьей
","You haven't shared photos with your Family yet"
"add_post","Add Post","Adaugă postare","Dodaj post","Добавь  публикацию

","Add Post"
"this_post_didnt_uploaded","This post didn't upload. You can resend it by clicking the above.","This post didn't uploaded. You can resend it by clicking the above.","Post nie został przesłany. Prześlij go ponownie, klikając powyżej.","This post didn't uploaded. You can resend it by clicking the above.","This post didn't upload. You can resend it by clicking the above."
"you_have_payment_progress","You have a payment in progress","Ai o plată nefinalizată","Masz niesfinalizowaną płatność","Добавь  публикацию","You have a payment in progress"
"you_want_proceed_payment","Do you want to proceed with the payment?","Vrei să finalizezi plata?","Czy chcesz sfinalizować płatność?","Хочешь закончить оплату?","Do you want to proceed with the payment?"
"do_you_want_see_posts","Do you want to see posts from parents that live nearby and have children the same age with yours?","Vrei să vezi poze de la părinți care trăiesc în apropiere și au copii de aceeași vârstă cu ai tăi?","Czy chcesz obejrzeć zdjęcia rodzin mieszkających w pobliżu i mających dzieci w wieku Twoich dzieci?","Хочешь увидеть фотографии родителей, которые живут недалеко от тебя и у них есть дети похожего возраста, как твои?","Do you want to see posts from parents that live nearby and have children the same age with yours?"
"share_approximate_location","Share your approximate location","Împărtășește locația aproximativă","Podaj swoją przybliżoną lokalizację","Поделись приблизительным местоположением  ","Share your approximate location"
"Posts","Posts","Postări","Posty","Публикации","Posts"
"People","People","Persoane","Osoby","Люди","People"
"thanks_reporting_post","Thanks for reporting this post","Mulțumim pentru că ai raportat această postare","Dziękujemy za zgłoszenie tego posta","Спасибо, что ты пожаловался на эту публикацию","Thanks for reporting this post"
"episode_is_no_longer_available","This episode is no longer available. Next Episode will be released tomorrow morning at 6 AM.","Acest episod nu mai este disponibil. Următorul episod va apărea mâine la ora 6:00.","Ten odcinek nie jest już dostępny. Kolejny odcinek pojawi się jutro o godzinie 6:00.","Серия заблокирована. Следующая серия появится завтра в 6:00.","This episode is no longer available. Next Episode will be released tomorrow morning at 6 AM."
"expires_in_hours__zero","expires in %s hours","expiră în %s ore","wygaśnie za %s godz.","истекает через% s часов","expires in %s hours"
"expires_in_hours__one","expires in %s hours","expiră în %s oră","wygaśnie za %s godz.","истекает через% s час","expires in %s hours"
"expires_in_hours__two","expires in %s hours","expiră în %s ore","wygaśnie za %s godz.","истекает через% s часа ","expires in %s hours"
"expires_in_hours__few","expires in %s hours","expiră în %s ore","wygaśnie za %s godz.","истекает через% s часов","expires in %s hours"
"expires_in_hours__many","expires in %s hours","expiră în %s ore","wygaśnie za %s godz.","истекает через% s часов","expires in %s hours"
"expires_in_hours__other","expires in %s hours","expiră în %s de ore","wygaśnie za %s godz.","истекает через% s час","expires in %s hours"
"expires_in_minutes__zero","expires in %s minutes","expiră în %s minute","wygaśnie za %s min.","истекает через% s минут","expires in %s minutes"
"expires_in_minutes__one","expires in %s minutes","expiră în %s minut","wygaśnie za %s min.","истекает через% s минуту","expires in %s minutes"
"expires_in_minutes__two","expires in %s minutes","expiră în %s minute","wygaśnie za %s min.","истекает через% s минуты","expires in %s minutes"
